Fronleichnam;DE;SL;19;6;2014;
Fronleichnam;DE;BW;4;6;2015;
Fronleichnam;DE;BY;4;6;2015;
Fronleichnam;DE;HE;4;6;2015;
Fronleichnam;DE;NW;4;6;2015;
Fronleichnam;DE;RP;4;6;2015;
Fronleichnam;DE;SL;4;6;2015;
Fronleichnam;DE;BW;26;5;2016;
Fronleichnam;DE;BY;26;5;2016;
Fronleichnam;DE;HE;26;5;2016;
Fronleichnam;DE;NW;26;5;2016;
Fronleichnam;DE;RP;26;5;2016;
Fronleichnam;DE;SL;26;5;2016;
Fronleichnam;DE;BW;15;6;2017;
Fronleichnam;DE;BY;15;6;2017;
Fronleichnam;DE;HE;15;6;2017;
Fronleichnam;DE;NW;15;6;2017;
Fronleichnam;DE;RP;15;6;2017;
Fronleichnam;DE;SL;15;6;2017;
Buß- und Bettag;DE;SN;21;11;2007;
Buß- und Bettag;DE;SN;19;11;2008;
Buß- und Bettag;DE;SN;18;11;2009;
Buß- und Bettag;DE;SN;17;11;2010;
Buß- und Bettag;DE;SN;16;11;2011;
Buß- und Bettag;DE;SN;21;11;2012;
Buß- und Bettag;DE;SN;20;11;2013;
Buß- und Bettag;DE;SN;19;11;2014;
Buß- und Bettag;DE;SN;18;11;2015;
Buß- und Bettag;DE;SN;16;11;2016;
Buß- und Bettag;DE;SN;22;11;2017;
